time_stamp, event, connect_ts, time_spent_disconnected, disconnect_ts, time_spent_connected,
2017-01-27 17:48:48.655009,Reconnected,2017-01-27 17:48:48.654419,None,None,None,
2017-01-27 18:33:52.962591,Disconnected,None,None,2017-01-27 18:29:01.334566,0:40:12,
2017-01-27 21:56:11.655127,Reconnected,2017-01-27 21:56:11.654627,3:27:10,None,None,
2017-01-27 22:00:48.356023,Disconnected,None,None,2017-01-27 21:56:51.075802,0:00:39,
2017-01-27 22:03:07.414655,Reconnected,2017-01-27 22:03:07.414176,0:06:16,None,None,
2017-01-27 22:08:50.149662,Disconnected,None,None,2017-01-27 22:03:49.032590,0:00:41,
2017-01-27 22:12:50.969185,Reconnected,2017-01-27 22:12:50.968703,0:09:01,None,None,
2017-01-27 22:17:34.943608,Disconnected,None,None,2017-01-27 22:13:11.484007,0:00:20,
2017-01-27 22:26:56.722211,Reconnected,2017-01-27 22:26:56.721720,0:13:45,None,None,
2017-01-27 22:31:34.640904,Disconnected,None,None,2017-01-27 22:27:27.666459,0:00:30,
